timestamp,Infrared to Red Signal Ratio
02/20/24 00:05:30,-38
02/20/24 00:06:30,42
02/20/24 00:07:30,32
02/20/24 00:08:30,-1
02/20/24 00:09:30,12
02/20/24 00:10:30,0
02/20/24 00:11:30,1
02/20/24 00:12:30,8
02/20/24 00:13:30,-30
02/20/24 00:14:30,-11
02/20/24 00:15:30,19
02/20/24 00:16:30,27
02/20/24 00:17:30,0
02/20/24 00:18:30,-11
02/20/24 00:19:30,-7
02/20/24 00:20:30,-3
02/20/24 00:21:30,-39
02/20/24 00:22:30,-13
02/20/24 00:23:30,-3
02/20/24 00:24:30,3
02/20/24 00:25:30,0
02/20/24 00:26:30,-1
02/20/24 00:27:30,0
02/20/24 00:28:30,25
02/20/24 00:29:30,14
02/20/24 00:30:30,-17
02/20/24 00:31:30,4
02/20/24 00:32:30,2
02/20/24 00:33:30,35
02/20/24 00:34:30,3
02/20/24 00:35:30,-36
02/20/24 00:36:30,-5
02/20/24 00:37:30,0
02/20/24 00:38:30,-1
02/20/24 00:39:30,-35
02/20/24 00:40:30,0
02/20/24 00:41:30,-6
02/20/24 00:42:30,-1
02/20/24 00:43:30,11
02/20/24 00:44:30,0
02/20/24 00:45:30,1
02/20/24 00:46:30,16
02/20/24 00:47:30,0
02/20/24 00:48:30,0
02/20/24 00:49:30,0
02/20/24 00:50:30,21
02/20/24 00:51:30,34
02/20/24 00:52:30,-60
02/20/24 00:53:30,-30
02/20/24 00:54:30,-13
02/20/24 00:55:30,34
02/20/24 00:56:30,0
02/20/24 00:57:30,-10
02/20/24 00:58:30,4
02/20/24 00:59:30,0
02/20/24 01:00:30,-1
02/20/24 01:01:30,-43
02/20/24 01:02:30,-32
02/20/24 01:03:30,0
02/20/24 01:04:30,33
02/20/24 01:05:30,0
02/20/24 01:06:30,0
02/20/24 01:07:30,0
02/20/24 01:08:30,0
02/20/24 01:09:30,0
02/20/24 01:10:30,-28
02/20/24 01:11:30,-35
02/20/24 01:12:30,-1
02/20/24 01:13:30,0
02/20/24 01:14:30,-8
02/20/24 01:15:30,36
02/20/24 01:16:30,-22
02/20/24 01:17:30,0
02/20/24 01:18:30,-22
02/20/24 01:19:30,0
02/20/24 01:20:30,5
02/20/24 01:21:30,-4
02/20/24 01:22:30,-12
02/20/24 01:23:30,15
02/20/24 01:24:30,16
02/20/24 01:25:30,0
02/20/24 01:26:30,-4
02/20/24 01:27:30,-2
02/20/24 01:28:30,-28
02/20/24 01:29:30,0
02/20/24 01:30:30,5
02/20/24 01:31:30,21
02/20/24 01:32:30,-5
02/20/24 01:33:30,-24
02/20/24 01:34:30,0
02/20/24 01:35:30,0
02/20/24 01:36:30,-36
02/20/24 01:37:30,-13
02/20/24 01:38:30,0
02/20/24 01:39:30,-29
02/20/24 01:40:30,-4
02/20/24 01:41:30,-3
02/20/24 01:42:30,0
02/20/24 01:43:30,-33
02/20/24 01:44:30,-12
02/20/24 01:45:30,-6
02/20/24 01:46:30,0
02/20/24 01:47:30,1
02/20/24 01:48:30,-13
02/20/24 01:49:30,-43
02/20/24 01:50:30,-2
02/20/24 01:51:30,-31
02/20/24 01:52:30,0
02/20/24 01:53:30,2
02/20/24 01:54:30,-13
02/20/24 01:55:30,-13
02/20/24 01:56:30,0
02/20/24 01:57:30,-21
02/20/24 01:58:30,-24
02/20/24 01:59:30,-6
02/20/24 02:00:30,60
02/20/24 02:01:30,26
02/20/24 02:02:30,7
02/20/24 02:03:30,-4
02/20/24 02:04:30,-4
02/20/24 02:05:30,0
02/20/24 02:06:30,-6
02/20/24 02:07:30,0
02/20/24 02:08:30,1
02/20/24 02:09:30,0
02/20/24 02:10:30,-38
02/20/24 02:11:30,5
