timestamp,Infrared to Red Signal Ratio
01/21/24 00:28:30,-2
01/21/24 00:29:30,0
01/21/24 00:30:30,0
01/21/24 00:31:30,-24
01/21/24 00:32:30,-2
01/21/24 00:33:30,-3
01/21/24 00:34:30,25
01/21/24 00:35:30,8
01/21/24 00:36:30,-26
01/21/24 00:37:30,-12
01/21/24 00:38:30,-16
01/21/24 00:39:30,-10
01/21/24 00:40:30,-13
01/21/24 00:41:30,-5
01/21/24 00:42:30,-22
01/21/24 00:43:30,-5
01/21/24 00:44:30,-7
01/21/24 00:45:30,0
01/21/24 00:46:30,-34
01/21/24 00:47:30,-13
01/21/24 00:48:30,-52
01/21/24 00:49:30,0
01/21/24 00:50:30,4
01/21/24 00:51:30,2
01/21/24 00:52:30,-30
01/21/24 00:53:30,9
01/21/24 00:54:30,-11
01/21/24 00:55:30,-55
01/21/24 00:56:30,58
01/21/24 00:57:30,-8
01/21/24 00:58:30,-98
01/21/24 00:59:30,-44
01/21/24 01:00:30,-13
01/21/24 01:01:30,-8
01/21/24 01:02:30,-58
01/21/24 01:03:30,-10
01/21/24 01:04:30,-60
01/21/24 01:05:30,-4
01/21/24 01:06:30,0
01/21/24 01:07:30,3
01/21/24 01:08:30,-13
01/21/24 01:09:30,38
01/21/24 01:10:30,-13
01/21/24 01:11:30,-86
01/21/24 01:12:30,-41
01/21/24 01:13:30,7
01/21/24 01:14:30,-12
01/21/24 01:15:30,0
01/21/24 01:16:30,-23
01/21/24 01:17:30,-2
01/21/24 01:18:30,-62
01/21/24 01:19:30,-4
01/21/24 01:20:30,0
01/21/24 01:21:30,-42
01/21/24 01:22:30,-42
01/21/24 01:23:30,-4
01/21/24 01:24:30,-4
01/21/24 01:25:30,0
01/21/24 01:26:30,0
01/21/24 01:27:30,0
01/21/24 01:28:30,0
01/21/24 01:29:30,-8
01/21/24 01:30:30,29
01/21/24 01:31:30,-2
01/21/24 01:32:30,-9
01/21/24 01:33:30,8
01/21/24 01:34:30,4
01/21/24 01:35:30,-21
01/21/24 01:36:30,0
01/21/24 01:37:30,-14
01/21/24 01:38:30,0
01/21/24 01:39:30,-9
01/21/24 01:40:30,0
01/21/24 01:41:30,-4
01/21/24 01:42:30,-42
01/21/24 01:43:30,0
01/21/24 01:44:30,-4
01/21/24 01:45:30,-19
01/21/24 01:46:30,-20
01/21/24 01:47:30,-13
01/21/24 01:48:30,-4
01/21/24 01:49:30,-18
01/21/24 01:50:30,0
01/21/24 01:51:30,-8
01/21/24 01:52:30,-4
01/21/24 01:53:30,22
01/21/24 01:54:30,-31
01/21/24 01:55:30,-33
01/21/24 01:56:30,2
01/21/24 01:57:30,-21
01/21/24 01:58:30,-21
01/21/24 01:59:30,0
01/21/24 02:00:30,-2
01/21/24 02:01:30,-13
01/21/24 02:02:30,14
01/21/24 02:03:30,-9
01/21/24 02:04:30,0
01/21/24 02:05:30,-3
01/21/24 02:06:30,-2
01/21/24 02:07:30,0
01/21/24 02:08:30,-1
01/21/24 02:09:30,0
01/21/24 02:10:30,0
01/21/24 02:11:30,1
01/21/24 02:12:30,-8
01/21/24 02:13:30,-17
01/21/24 02:14:30,0
01/21/24 02:15:30,1
01/21/24 02:16:30,0
01/21/24 02:17:30,-7
01/21/24 02:18:30,1
01/21/24 02:19:30,0
01/21/24 02:20:30,13
01/21/24 02:21:30,-1
01/21/24 02:22:30,0
01/21/24 02:23:30,-31
01/21/24 02:24:30,-1
01/21/24 02:25:30,0
01/21/24 02:26:30,3
01/21/24 02:27:30,0
01/21/24 02:28:30,-47
01/21/24 02:29:30,-84
01/21/24 02:30:30,0
01/21/24 02:31:30,-37
01/21/24 02:32:30,-19
01/21/24 02:33:30,8
01/21/24 02:34:30,0
01/21/24 02:35:30,-30
01/21/24 02:36:30,-30
01/21/24 02:37:30,0
01/21/24 02:38:30,0
01/21/24 02:39:30,22
01/21/24 02:40:30,-17
01/21/24 02:41:30,-23
01/21/24 02:42:30,18
01/21/24 02:43:30,-43
01/21/24 02:44:30,-4
01/21/24 02:45:30,-15
01/21/24 02:46:30,69
01/21/24 02:47:30,24
01/21/24 02:48:30,35
01/21/24 02:49:30,-30
01/21/24 02:50:30,3
01/21/24 02:51:30,0
01/21/24 02:52:30,-9
01/21/24 02:53:30,-2
01/21/24 02:54:30,0
01/21/24 02:55:30,4
01/21/24 02:56:30,0
01/21/24 02:57:30,-6
01/21/24 02:58:30,4
01/21/24 02:59:30,-5
01/21/24 03:00:30,23
01/21/24 03:01:30,-13
01/21/24 03:02:30,0
01/21/24 03:03:30,0
01/21/24 03:04:30,11
01/21/24 03:05:30,2
01/21/24 03:06:30,26
01/21/24 03:07:30,-8
01/21/24 03:08:30,0
01/21/24 03:09:30,17
01/21/24 03:10:30,0
01/21/24 03:11:30,12
01/21/24 03:12:30,-16
01/21/24 03:13:30,0
01/21/24 03:14:30,53
01/21/24 03:15:30,-12
01/21/24 03:16:30,-19
01/21/24 03:17:30,4
01/21/24 03:18:30,28
01/21/24 03:19:30,0
01/21/24 03:20:30,5
01/21/24 03:21:30,-1
01/21/24 03:22:30,2
01/21/24 03:23:30,0
01/21/24 03:24:30,-9
01/21/24 03:25:30,-8
01/21/24 03:26:30,-3
01/21/24 03:27:30,4
01/21/24 03:28:30,-2
01/21/24 03:29:30,9
01/21/24 03:30:30,4
01/21/24 03:31:30,0
01/21/24 03:32:30,-4
01/21/24 03:33:30,2
01/21/24 03:34:30,-2
01/21/24 03:35:30,2
01/21/24 03:36:30,16
01/21/24 03:37:30,0
01/21/24 03:38:30,-29
01/21/24 03:39:30,19
01/21/24 03:40:30,-2
01/21/24 03:41:30,20
01/21/24 03:42:30,-4
01/21/24 03:43:30,-2
01/21/24 03:44:30,1
01/21/24 03:45:30,5
01/21/24 03:46:30,-9
01/21/24 03:47:30,0
01/21/24 03:48:30,0
01/21/24 03:49:30,-16
01/21/24 03:50:30,0
01/21/24 03:51:30,20
01/21/24 03:52:30,1
01/21/24 03:53:30,-40
01/21/24 03:54:30,0
01/21/24 03:55:30,-12
01/21/24 03:56:30,7
01/21/24 03:57:30,0
01/21/24 03:58:30,-66
01/21/24 03:59:30,2
01/21/24 04:00:30,-15
01/21/24 04:01:30,-4
01/21/24 04:02:30,-35
01/21/24 04:03:30,-1
01/21/24 04:04:30,0
01/21/24 04:05:30,-17
01/21/24 04:06:30,-30
01/21/24 04:07:30,-8
01/21/24 04:08:30,20
01/21/24 04:09:30,-22
01/21/24 04:10:30,50
01/21/24 04:11:30,35
01/21/24 04:12:30,-2
01/21/24 04:13:30,-5
01/21/24 04:14:30,13
01/21/24 04:15:30,0
01/21/24 04:16:30,30
01/21/24 04:17:30,-13
01/21/24 04:18:30,0
01/21/24 04:19:30,0
01/21/24 04:20:30,-3
01/21/24 04:21:30,1
01/21/24 04:22:30,-4
01/21/24 04:23:30,-17
01/21/24 04:24:30,17
01/21/24 04:25:30,5
01/21/24 04:26:30,12
01/21/24 04:27:30,-8
01/21/24 04:28:30,13
01/21/24 04:29:30,0
01/21/24 04:30:30,0
01/21/24 04:31:30,-44
01/21/24 04:32:30,0
01/21/24 04:33:30,0
01/21/24 04:34:30,0
01/21/24 04:35:30,-23
01/21/24 04:36:30,-5
01/21/24 04:37:30,-8
01/21/24 04:38:30,0
01/21/24 04:39:30,-40
01/21/24 04:40:30,-6
01/21/24 04:41:30,-12
01/21/24 04:42:30,-1
01/21/24 04:43:30,42
01/21/24 04:44:30,3
01/21/24 04:45:30,53
01/21/24 04:46:30,-1
01/21/24 04:47:30,-8
01/21/24 04:48:30,1
01/21/24 04:49:30,0
01/21/24 04:50:30,2
01/21/24 04:51:30,8
01/21/24 04:52:30,0
01/21/24 04:53:30,3
01/21/24 04:54:30,0
01/21/24 04:55:30,1
01/21/24 04:56:30,1
01/21/24 04:57:30,30
01/21/24 04:58:30,8
01/21/24 04:59:30,8
01/21/24 05:00:30,-30
01/21/24 05:01:30,0
01/21/24 05:02:30,-2
01/21/24 05:03:30,34
01/21/24 05:04:30,0
01/21/24 05:05:30,4
01/21/24 05:06:30,2
01/21/24 05:07:30,8
01/21/24 05:08:30,20
01/21/24 05:09:30,5
01/21/24 05:10:30,16
01/21/24 05:11:30,-28
01/21/24 05:12:30,0
01/21/24 05:13:30,18
01/21/24 05:14:30,0
01/21/24 05:15:30,-54
01/21/24 05:16:30,0
01/21/24 05:17:30,32
01/21/24 05:18:30,-19
01/21/24 05:19:30,0
01/21/24 05:20:30,2
01/21/24 05:21:30,-4
01/21/24 05:22:30,-4
01/21/24 05:23:30,36
01/21/24 05:24:30,65
01/21/24 05:25:30,2
01/21/24 05:26:30,20
01/21/24 05:27:30,34
01/21/24 05:28:30,26
01/21/24 05:29:30,2
01/21/24 05:30:30,0
01/21/24 05:31:30,8
01/21/24 05:32:30,9
01/21/24 05:33:30,0
01/21/24 05:34:30,0
01/21/24 05:35:30,-8
01/21/24 05:36:30,17
01/21/24 05:37:30,4
01/21/24 05:38:30,0
01/21/24 05:39:30,0
01/21/24 05:40:30,22
01/21/24 05:41:30,0
01/21/24 05:42:30,-4
01/21/24 05:43:30,8
01/21/24 05:44:30,-13
01/21/24 05:45:30,0
01/21/24 05:46:30,18
01/21/24 05:47:30,0
01/21/24 05:48:30,0
01/21/24 05:49:30,20
01/21/24 05:50:30,-5
01/21/24 05:51:30,29
01/21/24 05:52:30,6
01/21/24 05:53:30,0
01/21/24 05:54:30,27
01/21/24 05:55:30,0
01/21/24 05:56:30,20
01/21/24 05:57:30,0
01/21/24 05:58:30,8
01/21/24 05:59:30,1
01/21/24 06:00:30,5
01/21/24 06:01:30,0
01/21/24 06:02:30,2
01/21/24 06:03:30,8
01/21/24 06:04:30,1
01/21/24 06:05:30,75
01/21/24 06:06:30,0
01/21/24 06:07:30,0
01/21/24 06:08:30,0
01/21/24 06:09:30,-10
01/21/24 06:10:30,-30
01/21/24 06:11:30,-7
01/21/24 06:12:30,0
01/21/24 06:13:30,1
01/21/24 06:14:30,0
01/21/24 06:15:30,0
01/21/24 06:16:30,-19
01/21/24 06:17:30,-21
01/21/24 06:18:30,68
01/21/24 06:19:30,0
01/21/24 06:20:30,39
01/21/24 06:21:30,0
01/21/24 06:22:30,0
01/21/24 06:23:30,26
01/21/24 06:24:30,-16
01/21/24 06:25:30,-6
01/21/24 06:26:30,3
01/21/24 06:27:30,-9
01/21/24 06:28:30,14
01/21/24 06:29:30,-7
01/21/24 06:30:30,-18
01/21/24 06:31:30,0
01/21/24 06:32:30,1
01/21/24 06:33:30,0
01/21/24 06:34:30,0
01/21/24 06:35:30,6
01/21/24 06:36:30,0
01/21/24 06:37:30,0
01/21/24 06:45:36,0
01/21/24 06:46:36,-3
01/21/24 06:47:36,0
01/21/24 08:20:30,0
01/21/24 08:21:30,0
01/21/24 08:22:30,14
01/21/24 08:23:30,-8
01/21/24 08:24:30,-1
01/21/24 08:25:30,-12
01/21/24 08:26:30,4
01/21/24 08:27:30,4
01/21/24 08:28:30,-2
01/21/24 08:29:30,0
01/21/24 08:30:30,-16
01/21/24 08:31:30,22
01/21/24 08:32:30,0
01/21/24 08:33:30,-49
01/21/24 08:34:30,4
01/21/24 08:35:30,-12
01/21/24 08:36:30,3
01/21/24 08:37:30,0
01/21/24 08:38:30,-7
01/21/24 08:39:30,2
01/21/24 08:40:30,-27
01/21/24 08:41:30,0
01/21/24 08:42:30,1
01/21/24 08:43:30,-16
01/21/24 08:44:30,-23
01/21/24 08:45:30,17
01/21/24 08:46:30,-1
01/21/24 08:47:30,0
01/21/24 08:48:30,-17
01/21/24 08:49:30,0
01/21/24 08:50:30,0
01/21/24 08:51:30,-2
01/21/24 08:52:30,0
01/21/24 08:53:30,0
01/21/24 08:54:30,-13
01/21/24 08:55:30,26
01/21/24 08:56:30,20
01/21/24 08:57:30,-2
01/21/24 08:58:30,0
01/21/24 08:59:30,-8
01/21/24 09:00:30,3
01/21/24 09:01:30,-6
01/21/24 09:02:30,0
01/21/24 09:03:30,-4
01/21/24 09:04:30,0
01/21/24 09:05:30,-5
01/21/24 09:06:30,-4
01/21/24 09:07:30,0
01/21/24 09:08:30,-9
01/21/24 09:09:30,0
01/21/24 09:10:30,-66
01/21/24 09:11:30,27
01/21/24 09:12:30,2
01/21/24 09:13:30,0
01/21/24 09:14:30,0
01/21/24 09:15:30,4
01/21/24 09:16:30,0
01/21/24 09:17:30,0
01/21/24 09:18:30,-20
01/21/24 09:19:30,-19
01/21/24 09:20:30,0
01/21/24 09:21:30,0
01/21/24 09:22:30,-44
01/21/24 09:23:30,-5
01/21/24 09:24:30,-43
01/21/24 09:25:30,-38
01/21/24 09:26:30,0
01/21/24 09:27:30,35
01/21/24 09:28:30,-21
01/21/24 09:29:30,-19
01/21/24 09:30:30,-22
01/21/24 09:31:30,0
01/21/24 09:32:30,-1
01/21/24 09:33:30,0
01/21/24 09:34:30,-2
01/21/24 09:35:30,12
01/21/24 09:36:30,16
01/21/24 09:37:30,3
01/21/24 09:38:30,0
01/21/24 09:39:30,-2
01/21/24 09:40:30,0
01/21/24 09:41:30,0
01/21/24 09:42:30,0
01/21/24 09:43:30,0
01/21/24 09:44:30,13
01/21/24 09:45:30,-18
01/21/24 09:46:30,-20
01/21/24 09:47:30,-4
01/21/24 09:48:30,-2
01/21/24 09:49:30,-12
01/21/24 09:50:30,-13
01/21/24 16:42:30,0
01/21/24 16:43:30,0
01/21/24 16:44:30,0
01/21/24 16:45:30,0
01/21/24 16:46:30,-2
01/21/24 16:47:30,-2
01/21/24 16:48:30,0
01/21/24 16:49:30,-7
01/21/24 16:50:30,0
01/21/24 16:51:30,23
01/21/24 16:52:30,-12
01/21/24 16:53:30,0
01/21/24 16:54:30,0
01/21/24 16:55:30,0
