timestamp,Infrared to Red Signal Ratio
01/04/24 00:22:00,0
01/04/24 00:23:00,0
01/04/24 00:24:00,0
01/04/24 00:25:00,0
01/04/24 00:26:00,0
01/04/24 00:27:00,0
01/04/24 00:28:00,0
01/04/24 00:29:00,0
01/04/24 00:30:00,0
01/04/24 00:31:00,0
01/04/24 00:32:00,0
01/04/24 00:33:00,0
01/04/24 00:34:00,0
01/04/24 00:35:00,0
01/04/24 00:36:00,0
01/04/24 00:37:00,0
01/04/24 00:38:00,0
01/04/24 00:39:00,0
01/04/24 00:40:00,0
01/04/24 00:41:00,0
01/04/24 00:42:00,0
01/04/24 00:43:00,0
01/04/24 00:44:00,0
01/04/24 00:45:00,0
01/04/24 00:46:00,0
01/04/24 00:47:00,0
01/04/24 00:48:00,0
01/04/24 00:49:00,0
01/04/24 00:50:00,2
01/04/24 00:51:00,0
01/04/24 00:52:00,0
01/04/24 00:53:00,0
01/04/24 00:54:00,2
01/04/24 00:55:00,0
01/04/24 00:56:00,5
01/04/24 00:57:00,6
01/04/24 00:58:00,-13
01/04/24 00:59:00,21
01/04/24 01:00:00,60
01/04/24 01:01:00,0
01/04/24 01:02:00,-8
01/04/24 01:03:00,11
01/04/24 01:04:00,0
01/04/24 01:05:00,-2
01/04/24 01:06:00,-5
01/04/24 01:07:00,54
01/04/24 01:08:00,-1
01/04/24 01:09:00,17
01/04/24 01:10:00,0
01/04/24 01:11:00,-6
01/04/24 01:12:00,-1
01/04/24 01:13:00,26
01/04/24 01:14:00,0
01/04/24 01:15:00,-30
01/04/24 01:16:00,0
01/04/24 01:17:00,27
01/04/24 01:18:00,0
01/04/24 01:19:00,24
01/04/24 01:20:00,0
01/04/24 01:21:00,-3
01/04/24 01:22:00,-19
01/04/24 01:23:00,1
01/04/24 01:24:00,0
01/04/24 01:25:00,-2
01/04/24 01:26:00,0
01/04/24 01:27:00,24
01/04/24 01:28:00,9
01/04/24 01:29:00,0
01/04/24 01:30:00,11
01/04/24 01:31:00,44
01/04/24 01:32:00,-4
01/04/24 01:33:00,0
01/04/24 01:34:00,39
01/04/24 01:35:00,0
01/04/24 01:36:00,6
01/04/24 01:37:00,0
01/04/24 01:38:00,20
01/04/24 01:39:00,0
01/04/24 01:40:00,-1
01/04/24 01:41:00,13
01/04/24 01:42:00,45
01/04/24 01:43:00,0
01/04/24 01:44:00,0
01/04/24 01:45:00,0
01/04/24 01:46:00,10
01/04/24 01:47:00,10
01/04/24 01:48:00,0
01/04/24 01:49:00,-49
01/04/24 01:50:00,6
01/04/24 01:51:00,7
01/04/24 01:52:00,6
01/04/24 01:53:00,0
01/04/24 01:54:00,-31
01/04/24 01:55:00,-38
01/04/24 01:56:00,16
01/04/24 01:57:00,-19
01/04/24 01:58:00,-2
01/04/24 01:59:00,4
01/04/24 02:00:00,-1
01/04/24 02:01:00,0
01/04/24 02:02:00,0
01/04/24 02:03:00,18
01/04/24 02:04:00,4
01/04/24 02:05:00,4
01/04/24 02:06:00,0
01/04/24 02:07:00,44
01/04/24 02:08:00,21
01/04/24 02:09:00,0
01/04/24 02:10:00,0
01/04/24 02:11:00,0
01/04/24 02:12:00,-39
01/04/24 02:13:00,-10
01/04/24 02:14:00,-46
