timestamp,Infrared to Red Signal Ratio
01/24/24 00:09:30,0
01/24/24 00:10:30,0
01/24/24 00:11:30,0
01/24/24 00:12:30,0
01/24/24 00:13:30,0
01/24/24 00:14:30,0
01/24/24 00:15:30,0
01/24/24 00:16:30,0
01/24/24 00:17:30,0
01/24/24 00:18:30,0
01/24/24 00:19:30,0
01/24/24 00:20:30,0
01/24/24 00:21:30,0
01/24/24 00:22:30,0
01/24/24 00:23:30,0
01/24/24 00:24:30,0
01/24/24 00:25:30,0
01/24/24 00:26:30,0
01/24/24 00:27:30,0
01/24/24 00:28:30,0
01/24/24 00:29:30,5
01/24/24 00:30:30,-12
01/24/24 00:31:30,40
01/24/24 00:32:30,0
01/24/24 00:33:30,-33
01/24/24 00:34:30,-8
01/24/24 00:35:30,-25
01/24/24 00:36:30,-7
01/24/24 00:37:30,-73
01/24/24 00:38:30,-4
01/24/24 00:39:30,0
01/24/24 00:40:30,-4
01/24/24 00:41:30,38
01/24/24 00:42:30,15
01/24/24 00:43:30,-4
01/24/24 00:44:30,-2
01/24/24 00:45:30,-29
01/24/24 00:46:30,-23
01/24/24 00:47:30,-51
01/24/24 00:48:30,-5
01/24/24 00:49:30,-5
01/24/24 00:50:30,8
01/24/24 00:51:30,-2
01/24/24 00:52:30,-34
01/24/24 00:53:30,-21
01/24/24 00:54:30,-26
01/24/24 00:55:30,-31
01/24/24 00:56:30,-32
01/24/24 00:57:30,-33
01/24/24 00:58:30,-4
01/24/24 00:59:30,-1
01/24/24 01:00:30,-7
01/24/24 01:01:30,-34
01/24/24 01:02:30,9
01/24/24 01:03:30,0
01/24/24 01:04:30,1
01/24/24 01:05:30,7
01/24/24 01:06:30,-8
01/24/24 01:07:30,-27
01/24/24 01:08:30,1
01/24/24 01:09:30,-1
01/24/24 01:10:30,-2
01/24/24 01:11:30,0
01/24/24 01:12:30,-4
01/24/24 01:13:30,-27
01/24/24 01:14:30,-2
01/24/24 01:15:30,-12
01/24/24 01:16:30,-17
01/24/24 01:17:30,-1
01/24/24 01:18:30,4
01/24/24 01:19:30,3
01/24/24 01:20:30,-20
01/24/24 01:21:30,0
01/24/24 01:22:30,0
01/24/24 01:23:30,11
01/24/24 01:24:30,61
01/24/24 01:25:30,0
01/24/24 01:26:30,3
01/24/24 01:27:30,27
01/24/24 01:28:30,0
01/24/24 01:29:30,0
01/24/24 01:30:30,0
01/24/24 01:31:30,0
01/24/24 01:32:30,22
01/24/24 01:33:30,-17
01/24/24 01:34:30,-4
01/24/24 01:35:30,8
01/24/24 01:36:30,4
01/24/24 01:37:30,0
01/24/24 01:38:30,8
01/24/24 01:39:30,7
01/24/24 01:40:30,9
01/24/24 01:41:30,-8
01/24/24 01:42:30,0
01/24/24 01:43:30,15
01/24/24 01:44:30,-56
01/24/24 01:45:30,-2
01/24/24 01:46:30,-4
01/24/24 01:47:30,-2
01/24/24 01:48:30,10
01/24/24 01:49:30,-9
01/24/24 01:50:30,0
01/24/24 01:51:30,2
01/24/24 01:52:30,10
